BG_num,ecc_norm,target_loc,n_fix,scanpath
8,3.0,"[412, 484]",3,"[[313, 313], [412, 484], [412, 484]]"
8,4.0,"[478, 484]",7,"[[313, 313], [478, 142], [511, 541], [478, 484], [478, 484], [478, 484], [478, 484]]"
8,5.0,"[544, 484]",6,"[[313, 313], [280, 370], [445, 313], [544, 484], [544, 484], [544, 484]]"
8,5.0,"[115, 541]",9,"[[313, 313], [181, 313], [412, 142], [445, 541], [346, 598], [346, 484], [115, 541], [115, 541], [115, 541]]"
8,4.0,"[181, 541]",9,"[[313, 313], [379, 427], [577, 427], [181, 85], [82, 484], [16, 370], [181, 541], [181, 541], [181, 541]]"
8,4.0,"[247, 541]",4,"[[313, 313], [280, 484], [247, 541], [247, 541]]"
8,4.0,"[313, 541]",4,"[[313, 313], [544, 256], [313, 541], [313, 541]]"
8,4.0,"[379, 541]",7,"[[313, 313], [280, 484], [82, 484], [379, 541], [379, 541], [379, 541], [379, 541]]"
8,4.0,"[445, 541]",9,"[[313, 313], [412, 256], [412, 256], [115, 199], [412, 256], [511, 541], [445, 541], [445, 541], [445, 541]]"
8,5.0,"[511, 541]",7,"[[313, 313], [181, 427], [247, 199], [346, 370], [280, 484], [511, 541], [511, 541]]"
8,5.0,"[214, 598]",6,"[[313, 313], [478, 370], [247, 541], [214, 598], [214, 598], [214, 598]]"
8,5.0,"[280, 598]",5,"[[313, 313], [511, 313], [280, 598], [280, 598], [280, 598]]"
8,5.0,"[346, 598]",8,"[[313, 313], [214, 370], [346, 28], [346, 28], [445, 313], [115, 199], [346, 598], [346, 598]]"
8,5.0,"[412, 598]",4,"[[313, 313], [412, 484], [412, 598], [412, 598]]"
9,5.0,"[214, 28]",20,"[[313, 313], [478, 256], [577, 313], [577, 313], [181, 541], [247, 199], [214, 142], [247, 199], [445, 199], [412, 142], [181, 313], [313, 541], [148, 370], [379, 427], [445, 427], [412, 598], [214, 256], [214, 28], [214, 28], [214, 28]]"
9,5.0,"[280, 28]",38,"[[313, 313], [412, 256], [280, 370], [379, 199], [148, 370], [214, 484], [247, 427], [280, 484], [214, 256], [478, 484], [412, 484], [181, 313], [82, 142], [181, 313], [280, 256], [577, 199], [610, 256], [214, 28], [280, 28], [610, 370], [412, 598], [511, 85], [544, 484], [214, 598], [280, 598], [478, 142], [82, 484], [379, 85], [412, 142], [181, 199], [346, 142], [412, 256], [280, 598], [577, 427], [214, 142], [115, 85], [280, 28], [280, 28]]"
9,5.0,"[346, 28]",20,"[[313, 313], [313, 427], [214, 256], [214, 370], [280, 256], [280, 484], [82, 370], [115, 427], [478, 484], [412, 484], [478, 370], [445, 313], [280, 598], [82, 142], [181, 85], [577, 199], [346, 142], [346, 28], [346, 28], [346, 28]]"
9,5.0,"[412, 28]",18,"[[313, 313], [214, 370], [544, 256], [511, 199], [544, 256], [478, 142], [214, 598], [346, 598], [445, 541], [181, 199], [181, 199], [181, 199], [379, 541], [379, 85], [412, 28], [412, 28], [412, 28], [412, 28]]"
9,5.0,"[115, 85]",24,"[[313, 313], [181, 85], [247, 199], [214, 484], [313, 427], [49, 199], [445, 199], [445, 85], [478, 370], [445, 427], [577, 313], [577, 313], [280, 28], [412, 598], [445, 541], [115, 541], [280, 598], [478, 484], [247, 541], [82, 370], [247, 313], [115, 85], [115, 85], [115, 85]]"
9,4.0,"[181, 85]",36,"[[313, 313], [478, 256], [346, 256], [181, 313], [214, 256], [181, 313], [214, 484], [313, 541], [412, 484], [544, 484], [577, 427], [511, 427], [478, 370], [544, 142], [49, 313], [82, 142], [214, 28], [115, 541], [313, 427], [445, 541], [280, 484], [346, 28], [379, 85], [313, 199], [49, 427], [49, 427], [346, 28], [346, 28], [379, 199], [214, 142], [115, 85], [214, 370], [247, 313], [181, 85], [181, 85], [181, 85]]"
9,4.0,"[247, 85]",19,"[[313, 313], [247, 427], [346, 484], [247, 541], [115, 427], [82, 370], [148, 484], [478, 484], [115, 313], [148, 142], [115, 85], [49, 199], [49, 313], [478, 142], [544, 256], [478, 370], [247, 85], [247, 85], [247, 85]]"
9,4.0,"[313, 85]",13,"[[313, 313], [214, 370], [412, 256], [544, 256], [577, 199], [148, 256], [148, 256], [115, 199], [280, 142], [313, 85], [313, 85], [313, 85], [313, 85]]"
